hora,p1,p2,p3,p4,p5
0,208.661400,770.916000,1511.303400,150.592800,2700.093000
1,195.880800,765.744600,1503.469800,143.656800,2753.224800
2,189.720000,798.415200,1496.319600,144.646200,2762.282400
3,203.571600,876.659400,1545.728400,144.676800,2817.913200
4,253.031400,1039.104600,1640.904600,146.319000,2998.647000
5,332.356800,1404.693000,1994.497800,212.598600,3335.767200
6,390.180600,1515.108000,2314.930800,223.339200,3722.551200
7,380.919000,1388.893200,2337.636000,232.111200,3863.362200
8,354.898800,1219.879200,2308.351800,256.723800,3753.875400
9,352.420200,1169.195400,2192.959200,249.492000,3571.581000
10,346.126800,1011.840000,2062.868400,251.001600,3335.461200
11,353.307600,934.962600,2020.701600,242.270400,3191.488200
12,337.212000,793.876200,1924.230000,235.905600,3102.717600
13,307.683000,752.382600,1963.234800,210.630000,3049.657200
14,287.252400,754.820400,2015.112000,193.198200,2968.312200
15,286.334400,792.958200,2066.071200,208.539000,2936.386200
16,295.228800,834.655800,2098.741800,196.982400,3049.942800
17,319.576200,942.490200,2164.582800,208.610400,3283.074000
18,336.141000,1054.435200,2171.508600,220.534200,3415.419000
19,341.740800,1082.923800,2156.065800,212.517000,3465.654000
20,333.101400,1027.864200,2109.696600,225.552600,3539.063400
21,331.173600,971.529600,1974.944400,211.915200,3318.080400
22,281.234400,873.344400,1758.612600,193.718400,3058.306800
23,245.993400,825.159600,1581.754800,165.739800,2860.202400
