hour,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
0,1471.721792,200.1484288,786.6148672,1131.0052936,1906.4460432,1167.2517296,632.9281864,179.0905488,2372.058172,2386.7628448,157.889296
1,1460.3953408,188.6069184,753.5405544,1101.73036,1892.5568032,1150.5756808,634.2543848,168.2748632,2418.7349792,2400.687928,151.2045392
2,1468.0657856,188.893664,749.0959976,1096.9094496,1912.5214656,1159.4289512,665.4827728,168.5257656,2426.6921696,2413.2061656,153.4626608
3,1515.6655552,201.080352,785.6022968,1129.6253304,1958.0871336,1176.6247264,731.604516,174.197952,2475.5643728,2512.5366336,154.6006824
4,1618.1771072,258.07104,871.5363688,1260.2737944,2094.6497256,1248.194636,917.9533128,214.9516704,2634.340788,2677.6035304,179.6998832
5,1879.1424856,344.3814656,1075.385608,1549.6717912,2415.8585624,1438.611636,1230.452252,246.735628,2930.5041888,2967.6556656,216.9947328
6,2169.2394248,406.3902016,1323.06212,1826.9637472,2763.7526616,1648.428768,1271.5644024,306.3966344,3270.2977248,3272.394552,248.5636312
7,2223.6942064,384.0957312,1324.2897496,1841.1666152,2867.0348424,1739.784124,1120.234412,358.2169408,3394.0015688,3433.8054424,275.2578544
8,2190.3869128,353.5573248,1255.318472,1793.8894344,2899.0965848,1714.7924528,980.2846376,328.9420072,3297.8163416,3307.4850448,290.7421168
9,2115.9764296,339.076672,1155.853592,1713.9859808,2863.9344056,1621.3044264,878.2748904,329.0136936,3137.668924,3072.65832,308.8518936
10,2031.8076352,330.6893632,1106.3989368,1625.6952184,2781.4681632,1546.3114912,820.5135736,322.2841328,2930.2353648,2816.5496952,296.5845584
11,1971.4028824,326.9616704,1057.284792,1594.708772,2673.633896,1431.1920936,780.4319152,386.7212456,2803.7536728,2685.1843672,288.5019168
12,1971.0892544,311.83584,1055.3223768,1541.436816,2661.6891496,1339.101952,726.4430952,320.2769136,2725.7678304,2574.7156248,269.9978648
13,1929.2423184,293.9859264,1004.3354248,1514.1422192,2671.7700496,1286.7171152,707.3834736,309.774856,2679.1537488,2449.9633672,244.7911344
14,1923.9016816,270.7595328,1011.9073008,1521.454232,2659.9776368,1258.3382616,679.45266,300.1509568,2607.6913688,2440.5455664,239.7014
15,1955.6677176,272.1932608,1035.1336944,1542.198484,2631.2134688,1296.4216616,716.0306456,304.1922776,2579.6440648,2466.953044,225.6508656
16,1988.2581472,278.860096,1090.4576736,1592.020532,2650.559836,1445.60106,773.4783344,310.7426224,2679.4046512,2597.646312,231.7173272
17,2016.9775112,297.6419328,1111.452828,1591.482884,2634.5379256,1534.6982944,858.8299544,317.705164,2884.212696,2728.4829528,242.4882088
18,1970.70394,319.7930304,1114.2575584,1595.4435576,2631.9392936,1606.7431264,952.891472,325.4383344,3000.479076,2865.5025456,255.920448
19,1991.4571528,337.7863168,1136.45346,1581.2854936,2618.390564,1633.6255264,931.9769648,325.8236488,3044.611016,2876.0404464,274.155676
20,1951.3575728,311.7641536,1096.7481552,1529.1515592,2563.5683896,1624.1360392,861.7959792,299.8373288,3109.1018936,2871.9095176,260.4814952
21,1847.1972336,313.9147456,1022.1046912,1414.059044,2402.748912,1533.8828616,853.6685336,269.2810008,2914.9661616,2715.9199112,261.6195168
22,1678.0621336,276.9962496,888.2930648,1286.7977624,2171.8918216,1434.0505888,792.3049752,248.9668672,2686.7525072,2445.1245352,231.0363064
23,1482.8690272,225.095296,789.2134992,1150.611524,1968.7504856,1299.1188624,685.1786112,219.1005208,2512.7158496,2246.9474824,198.9207992
