hour,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0.0185014537,0,0,0,0,0,0,0,0,0.0125938835
5,0,0.061111098,0,0,0,0,0.00260859125,0.00080924012,0,0,0.0411849761
6,0,0.154484219,0,0,0,0,0.0609628836,0.014022921,0,0,0.153325452
7,0.00886942301,0.275660366,0.0197761044,0,0,0.047942598,0.166310085,0.0183236827,0.0963716762,0.118461134,0.309569454
8,0.0418231761,0.385082586,0.114555272,0.0282126459,0.0272150948,0.191077647,0.284428126,0.0349923931,0.277627439,0.324695937,0.502687099
9,0.131597976,0.46482066,0.174052301,0.101957448,0.0696405561,0.343562243,0.451745694,0.0441399311,0.427776716,0.526054356,0.648840078
10,0.173119879,0.543200119,0.202992551,0.150656638,0.0872177962,0.510131051,0.48367986,0.0325437995,0.521382214,0.662905553,0.748124963
11,0.256725912,0.563667202,0.243824177,0.158338336,0.136030724,0.563844746,0.614252981,0.0350837489,0.680315137,0.702479514,0.795502214
12,0.290280885,0.567477054,0.225702739,0.14645978,0.148225489,0.537901359,0.607998228,0.0491512968,0.702449912,0.683504603,0.780329734
13,0.242703907,0.499426232,0.217641186,0.129968173,0.142531405,0.483630118,0.535713524,0.0334175454,0.647090258,0.576188338,0.749702452
14,0.207223747,0.391215348,0.152190389,0.162740729,0.0776195117,0.467676236,0.478340506,0.0242538583,0.548512148,0.535876149,0.642517584
15,0.110228969,0.309337231,0.0694871619,0.052732101,0.0478609041,0.210147795,0.28064043,0.0209379948,0.409223145,0.354187629,0.505772484
16,0.0603124356,0.187091308,0.00255552399,0,0.00626056576,0.0972999563,0.129911418,0.0184275186,0.159927865,0.14188804,0.358738288
17,0.00265090804,0.118846337,0,0,0,0.00344820459,0.0498794682,0.00922446044,0.0251094254,0.0198798753,0.198866182
18,0,0.0584784019,0,0,0,0,0.00509319524,0.00172001188,0,0,0.0589957587
19,0,0.0222444644,0,0,0,0,0,0,0,0,0.0216512845
20,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0
