hour_of_week,day_of_week,hour,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
0,Mon,0,221.4930544,763.6214544,1315.7769896,253.9580328,420.5482656,240.776696,1766.6575632,753.2269264,1078.7727904,2163.8898272,164.3500328
1,Mon,1,205.2202416,773.1109416,1274.7544472,237.6583376,413.451312,223.6794896,1753.001304,766.4441064,1065.7258656,2157.0706584,150.5683224
2,Mon,2,209.817132,796.4448648,1293.3749896,250.8755176,417.7345744,237.68522,1758.5390784,794.6706264,1067.4463392,2201.5072656,155.3533896
3,Mon,3,223.1059984,846.4461288,1333.0354904,271.2254944,462.5027312,269.9799432,1823.7737024,869.64564,1088.3877288,2229.7875504,174.3234032
4,Mon,4,282.3010432,978.1967712,1448.1459272,361.7564568,630.1503384,328.771752,1939.1081592,1015.0704632,1198.4263528,2353.1688056,228.6079296
5,Mon,5,363.002008,1182.7449528,1704.8101216,473.2915344,797.1706896,413.9262344,2133.163244,1202.09132,1449.050968,2637.8086176,296.2530088
6,Mon,6,412.4566632,1339.729208,2017.0581584,582.5684904,868.1850296,452.8609104,2400.82234,1094.3556216,1741.6838136,2955.6033896,351.9174984
7,Mon,7,405.5837296,1366.7101768,2078.6726192,525.3448216,794.9036072,441.1491448,2413.1792832,986.2346088,1725.984492,3124.003704,334.8382136
8,Mon,8,364.2923632,1291.3140056,2110.5641064,456.2122496,707.3117872,404.5621984,2482.0788744,910.148456,1667.9991552,3026.5370824,314.9990024
9,Mon,9,347.2578824,1230.7479584,2093.646116,399.2663656,651.7100232,374.3463808,2450.7160744,854.6631824,1576.7334072,2891.918984,313.986432
10,Mon,10,326.0924728,1170.7016376,2042.0050256,402.4922536,582.5057648,361.9177512,2408.4031768,822.0010664,1512.0274704,2778.7261584,287.731288
11,Mon,11,332.6965824,1101.0851824,2070.6527032,397.1516168,544.1983448,359.6148256,2389.0657704,774.1951984,1407.4549344,2666.5369424,284.3978704
12,Mon,12,306.0202808,1168.48832,2075.2137504,370.2871384,462.0815736,326.1462376,2389.5854968,703.8170752,1349.4247936,2583.6853856,270.571356
13,Mon,13,290.1417432,1043.2073752,2060.1058416,355.474936,447.8428624,303.0363344,2344.3334568,674.8468088,1331.12684,2487.7600216,246.4130392
14,Mon,14,265.7862888,996.6112152,2081.6117616,346.290116,432.851444,285.6882256,2303.1585808,660.545372,1363.744152,2421.6203568,239.5042624
15,Mon,15,258.1785696,1022.1405344,2092.1855056,356.9355464,420.48554,284.9355184,2279.9769912,688.0639888,1393.7807536,2457.857832,248.9579064
16,Mon,16,271.0104352,1138.200816,2111.6842064,361.299456,473.3632208,306.997008,2303.9381704,746.1568552,1477.3043704,2610.997904,245.1316448
17,Mon,17,282.6146712,1192.727284,2118.8618072,409.7236192,571.788648,360.9051808,2289.529204,820.226828,1508.0667968,2774.5056216,259.728788
18,Mon,18,312.8752928,1223.2925728,2095.4472368,454.5903448,634.5769736,427.2151008,2262.960432,875.4163952,1488.299272,2877.4293704,281.5124928
19,Mon,19,321.3522096,1202.8350664,2108.1715728,473.5424368,650.2046088,396.0135952,2231.6962008,980.2935984,1471.58738,2906.6415784,289.7385072
20,Mon,20,297.3283048,1163.3537816,2074.4072784,451.1404368,605.2213928,373.3875752,2205.3156056,915.480132,1442.1869952,2901.2113336,291.2439216
21,Mon,21,304.7926512,1120.7003736,1905.9263168,411.8025248,548.9744512,356.5860752,2099.9007544,810.3789088,1309.7194888,2759.0840848,287.283248
22,Mon,22,259.952808,975.5085312,1696.0912632,349.3278272,419.4908912,306.593772,1913.9283112,724.5882096,1175.0834688,2575.55794,232.039916
23,Mon,23,235.8840992,874.2066872,1500.6024504,315.6531408,445.217348,250.67838,1784.0773584,635.4909752,1049.892132,2383.4115056,191.581904
24,Tue,0,202.8097864,868.883972,1409.7668208,284.4874784,402.0890176,234.235312,1713.3856072,604.9973728,989.9085368,2317.9259792,170.4702592
25,Tue,1,191.2324328,883.98292,1370.8500664,281.100296,398.8720904,221.7618784,1715.6706112,604.18194,966.7986336,2330.4890208,155.0845656
26,Tue,2,198.4906808,907.3616472,1365.5900768,291.8890992,424.2221936,221.4034464,1730.7695592,622.9816984,1075.6633928,2364.9612184,147.0825712
27,Tue,3,201.0893128,949.4684464,1396.271856,322.8486632,469.232292,242.6495032,1786.8552064,694.3634312,1103.612128,2406.8439976,162.100872
28,Tue,4,246.3144704,1054.6951208,1552.5571688,406.6321432,621.1268128,303.77112,1884.1963768,893.0512496,1222.1455904,2531.0406856,228.6885768
29,Tue,5,334.7934096,1272.5321688,1793.2263352,580.7852912,841.1771784,416.4800624,2115.0445064,1172.431072,1564.2062088,2816.693068,294.6131824
30,Tue,6,376.2012664,1432.5093312,2091.2177392,628.465708,862.92504,483.6502192,2402.0678912,1275.4085856,1813.4956648,3166.1015424,349.7937888
31,Tue,7,368.5935472,1440.403796,2135.6364248,593.7605296,807.5114528,459.4829416,2460.7432096,1197.2345664,1823.3256624,3339.8514544,336.0210392
32,Tue,8,330.6804024,1431.5863688,2157.133384,543.8040696,765.6824384,450.862652,2443.7983368,1025.9040704,1768.7991944,3256.265112,301.0111936
33,Tue,9,372.5094168,1394.9904616,2082.534724,494.4300616,711.1470096,406.7396728,2363.4468432,901.7880296,1654.074072,3083.2499856,260.445652
34,Tue,10,317.794772,1295.9646608,2042.39034,392.2679808,671.1549592,397.0172048,2238.363036,814.08868,1549.7345168,2991.7512568,361.926712
35,Tue,11,311.0383288,1207.4946824,2047.4173488,421.8655032,618.6715536,376.0937368,2201.937384,781.1487792,1494.3746944,2875.879152,113.0136096
36,Tue,12,289.165016,1123.9800264,2039.7648256,382.6620032,572.4248648,343.7542096,2141.676004,727.7334504,1418.1541296,2795.231952,423.7024672
37,Tue,13,261.2700456,1041.424176,2028.4831784,340.0533992,514.8248424,308.833972,2176.1571624,689.4977168,1371.7730288,2673.2127384,249.6120448
38,Tue,14,255.1050152,1026.8449544,2075.3929664,334.6769192,451.9469088,309.2103256,2198.353064,679.3988952,1331.6555272,2599.8685904,249.0027104
39,Tue,15,263.8238736,1067.141672,2044.7559912,340.5820864,475.1374592,331.7198552,2233.2912232,685.8685928,1377.5079408,2640.613348,257.0495088
40,Tue,16,268.1250576,1184.7880152,2053.6092616,372.4646128,520.8554608,355.5735048,2223.1834408,763.8006704,1528.8737744,2785.0704048,288.8603488
41,Tue,17,281.81716,1298.6529008,2072.0864312,403.2270392,612.291464,372.7334368,2234.5367744,787.7260064,1651.92348,2920.7817208,272.63234
42,Tue,18,303.0184128,1336.3599472,2031.8882824,442.9502656,652.0415728,404.6070024,2240.2806472,851.096784,1638.7690256,2978.6864104,280.4371968
43,Tue,19,303.2424328,1355.6167064,2035.311308,445.3786424,645.2044824,424.5268608,2236.1855616,909.5301608,1712.319272,3012.4327832,288.851388
44,Tue,20,287.4266208,1348.4032624,1970.3992728,405.4134744,587.7299112,393.8630032,2194.7329008,912.6485192,1700.0160936,3005.093888,278.0357024
45,Tue,21,299.7925248,1259.9153624,1825.0640576,377.9396616,539.5028856,377.6260336,2057.220464,840.7291384,1608.508404,2872.1335376,277.3726032
46,Tue,22,252.3988536,1148.8910504,1646.3140192,322.1049168,435.2439776,335.3220968,1881.4812544,747.3486416,1450.9685792,2635.3981624,231.6546016
47,Tue,23,218.329892,1056.4066336,1506.5524216,283.9946344,401.9725272,279.7024112,1685.8580296,698.27034,1306.126208,2463.77196,187.0656608
48,Wed,0,189.565724,1016.1278376,1391.4151024,257.757412,360.3496112,259.280748,1595.828872,680.1426416,1270.8475384,2372.058172,165.5776624
49,Wed,1,197.4870712,1008.941276,1370.4557912,242.5330128,353.5304424,250.3557912,1586.2497768,691.2988376,1272.7113848,2418.7349792,148.5879856
50,Wed,2,179.6550792,1026.4058752,1370.3661832,241.851992,373.351732,246.8073144,1596.9848152,741.8556712,1282.06646,2426.6921696,148.211632
51,Wed,3,181.5995728,1058.763324,1436.9270056,280.1862944,410.7720328,268.7433528,1633.4283888,811.4273224,1285.1937792,2475.5643728,165.1833872
52,Wed,4,227.783536,1176.7501776,1524.500904,362.24034,574.0646912,344.5069168,1759.945924,1018.3142728,1434.6061584,2634.340788,202.4603152
53,Wed,5,294.7565552,1406.4782072,1820.4492456,514.2692728,720.3049472,446.5883504,1982.442588,1285.3192304,1621.143132,2930.5041888,280.5357656
54,Wed,6,355.8423288,1670.9114152,2061.9517664,497.9695776,767.0982448,516.410904,2287.1456312,1155.2801008,1932.7818344,3270.2977248,325.4472952
55,Wed,7,350.7436336,1728.1082016,2139.0056856,563.589516,742.4829272,493.3099616,2355.6419864,1003.6364824,1921.5001872,3394.0015688,326.2716888
56,Wed,8,329.9008128,1661.153104,2054.173792,523.6422696,693.6376064,449.9486504,2348.5181504,829.2682752,1891.2395656,3297.8163416,304.5865528
57,Wed,9,334.506664,1570.6400632,2011.6010312,511.303248,636.7006832,428.2455928,2302.7553448,736.7390544,1759.5247664,3137.668924,279.0572336
58,Wed,10,323.48488,1509.357152,1962.0478072,498.0143816,624.1376416,410.3508752,2250.7199792,688.1087928,1598.0421896,2930.2353648,270.3114928
59,Wed,11,321.289484,1421.2008016,1908.9729888,502.7188016,608.1605352,398.710796,2137.1239176,614.2718008,1431.5415648,2803.7536728,269.5498248
60,Wed,12,289.65786,1379.1656888,1919.7349096,473.2556912,588.4646968,384.6961048,2120.9586344,585.5076328,1321.4402152,2725.7678304,246.780432
61,Wed,13,272.4889672,1349.9982848,1911.0160512,451.265888,571.0986664,349.91924,2089.972188,563.813536,1424.6417488,2679.1537488,235.937864
62,Wed,14,266.4583488,1345.2580216,1886.6247536,452.6368904,587.6761464,331.9617968,2045.7416792,512.3158184,1347.5609472,2607.6913688,230.0147752
63,Wed,15,256.9778224,1376.5312136,1849.464316,468.5512712,603.3217032,330.9044224,2078.2873048,570.8298424,1355.5091768,2579.6440648,233.3302712
64,Wed,16,270.481748,1416.523264,1875.8628328,493.247236,638.0627248,330.1069112,2097.544064,569.6918208,1444.839392,2679.4046512,229.5577744
65,Wed,17,294.0844952,1436.0309256,1889.0172872,541.0620648,685.456396,353.72758,2130.3674744,663.8250248,1535.6660608,2884.212696,247.5331392
66,Wed,18,305.697692,1448.1728096,1860.9162184,580.8748992,684.8470616,393.4149632,2186.8742792,701.1826,1538.1482024,3000.479076,261.117712
67,Wed,19,304.9449848,1435.8517096,1843.5591488,554.4136568,679.9813472,425.7544904,2152.518572,874.3769424,1510.0202512,3044.611016,274.4155392
68,Wed,20,281.951572,1386.7913296,1823.8453888,495.7472992,622.8293648,423.2902704,2163.1640024,782.7617232,1479.517688,3109.1018936,269.7559232
69,Wed,21,286.0556184,1276.1702536,1676.9868376,415.4137272,539.6731408,399.5083072,2053.3045944,674.3091608,1382.1048312,2914.9661616,263.537128
70,Wed,22,244.943468,1129.50884,1527.5206936,404.759336,489.4747392,356.281408,1858.8014696,586.0721632,1200.9801808,2686.7525072,218.7689712
71,Wed,23,221.4303288,1011.1456328,1363.6007792,346.1109,393.5852184,284.4337136,1666.4937408,532.9077368,1031.4687272,2512.7158496,191.671512
72,Thu,0,189.252096,946.170872,1270.7937736,319.3539512,403.8274128,256.8702928,1595.0044784,515.5327456,1025.7965408,2386.7628448,153.9644656
73,Thu,1,180.8020616,914.2166592,1266.1879224,324.246548,377.8231712,236.3500608,1585.7300504,505.702748,993.1792288,2400.687928,140.7024816
74,Thu,2,181.9221616,908.1412368,1241.4202712,335.2145672,385.8251656,239.1458304,1606.6804008,521.6171288,990.6343616,2413.2061656,141.9659544
75,Thu,3,183.5978312,940.5524504,1257.065828,363.6023816,425.2258032,257.5154704,1638.4733192,560.1664904,1047.1053232,2512.5366336,147.7546312
76,Thu,4,228.5362432,1060.51068,1353.5915656,460.3700608,596.1351416,341.9262064,1774.7939696,715.4840368,1133.2634152,2677.6035304,198.6698968
77,Thu,5,297.095324,1303.2497912,1632.5502304,621.43148,747.1425432,430.8263032,2097.5799072,968.4922248,1426.2278104,2967.6556656,269.6931976
78,Thu,6,341.6573824,1540.8633248,1936.160056,696.7022,802.4127576,487.6288144,2448.5027568,1002.8210496,1684.5945568,3272.394552,321.5314256
79,Thu,7,345.1520944,1549.6090656,1943.418304,653.6365952,770.1090736,479.3221528,2506.5956232,936.3319136,1688.5910736,3433.8054424,320.2858744
80,Thu,8,332.0514048,1481.7668488,1902.6825072,606.8970624,716.5324504,437.1347064,2508.2981752,881.4201312,1634.6560184,3307.4850448,291.4410592
81,Thu,9,319.945364,1401.289904,1822.2593272,562.2902,687.2127128,401.8112328,2474.1396056,862.4590784,1596.9400112,3072.65832,283.5555552
82,Thu,10,311.6387024,1303.3842032,1708.6363832,517.6474944,668.789308,387.0975992,2390.8220872,791.373052,1530.594248,2816.5496952,286.3692464
83,Thu,11,316.1101416,1237.5492056,1676.0817968,505.2905512,660.590176,363.6830288,2342.084296,721.837244,1524.8951792,2685.1843672,325.6265112
84,Thu,12,312.8394496,1241.0708,1638.7690256,410.0820512,628.5732376,364.4984616,2266.813576,626.628744,1522.2338216,2574.7156248,255.8039576
85,Thu,13,280.4999224,1246.940124,1551.428108,413.8276656,630.4281232,321.0833856,2293.7676624,598.6620872,1520.5402304,2449.9633672,242.5330128
86,Thu,14,265.2665624,1226.5363824,1578.176096,380.744392,653.0272608,313.6638432,2331.9765136,591.1708584,1572.3784584,2440.5455664,231.9592688
87,Thu,15,257.9276672,1255.6052176,1627.2454368,369.8659808,664.8734384,316.5312992,2359.8804448,595.4989248,1588.3286824,2466.953044,233.4198792
88,Thu,16,258.8147864,1295.7227192,1662.1208704,390.8342528,724.2208168,310.4648376,2477.8493768,603.5457232,1631.6631112,2597.646312,236.251492
89,Thu,17,270.795376,1334.71116,1663.2678528,447.054312,711.0574016,327.74126,2486.4248624,662.8393368,1650.1044376,2728.4829528,250.857596
90,Thu,18,276.037444,1327.6052456,1651.6904992,515.1295096,734.7497568,357.1416448,2517.0080728,757.1786392,1623.6879992,2865.5025456,269.0121768
91,Thu,19,283.3225744,1332.4530384,1646.9591968,534.690936,716.7654312,384.6333792,2579.231868,850.4068024,1646.1168816,2876.0404464,280.3296672
92,Thu,20,257.7842944,1285.3281912,1603.5082776,495.0842,666.817932,378.5938,2579.9218496,845.6755,1633.3208592,2871.9095176,276.0553656
93,Thu,21,261.4851048,1178.390004,1500.9698432,458.4434888,594.3609032,364.6239128,2499.7854152,779.7598552,1518.8466392,2715.9199112,270.8670624
94,Thu,22,228.3032624,1038.8165832,1321.4402152,398.8183256,511.7871312,307.1045376,2309.7178864,677.346872,1365.0703504,2445.1245352,231.7173272
95,Thu,23,198.8222304,851.8942952,1141.6328024,351.8189296,447.457548,266.2880936,2120.259692,623.582072,1246.716104,2246.9474824,185.2376576
96,Fri,0,179.3414512,912.971108,1104.553012,327.6426912,438.2816888,240.1225576,2012.4433464,574.0646912,1189.1160816,2180.3508168,163.176168
97,Fri,1,181.4741216,842.1718272,1068.440988,323.081644,424.1236248,236.4127864,1988.6972264,579.8712896,1174.1605064,2171.8022136,156.455568
98,Fri,2,165.9719376,839.9047448,1052.0068808,336.0210392,440.2709864,227.0845936,2003.9574688,580.2207608,1196.5177024,2197.0447872,146.9481592
99,Fri,3,167.3160576,852.1541584,1089.7318488,363.7547152,482.3509032,257.4706664,2061.6291776,648.4662136,1230.004212,2244.4384584,161.428812
100,Fri,4,194.5568896,950.472056,1199.671904,459.2320392,662.4361008,328.1265744,2189.5983624,814.357504,1345.732944,2382.855936,218.6704024
101,Fri,5,223.1866456,1194.9047584,1471.9278904,645.4105808,864.0092968,419.6432248,2460.9761904,1028.7536048,1585.6494032,2648.6870288,283.6451632
102,Fri,6,243.6172696,1428.6830696,1766.5948376,703.6737024,891.6533648,459.420216,2772.068284,1111.9277504,1831.8921872,2969.9496304,316.7732408
103,Fri,7,263.3489512,1438.0202232,1807.4112816,630.9926536,873.0865872,443.7567376,2863.8627192,1098.3521384,1864.1331456,3045.4712528,320.0528936
104,Fri,8,273.6359496,1349.138048,1766.576916,564.3691056,821.7680856,404.983356,2900.2614888,960.0242688,1857.9591544,3011.3485264,303.0721776
105,Fri,9,290.7062736,1230.1296632,1691.4764512,513.5792912,787.0987504,382.1064336,2844.7224504,932.460848,1784.5343592,2848.2171624,299.7656424
106,Fri,10,293.2063368,1144.5809056,1624.413824,413.6663712,772.9317256,345.5105264,2760.0249688,841.6521008,1691.3599608,2721.7265096,288.6184072
