hour_of_week,day_of_week,hour,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
0,Mon,0,0,0,0,0,0,0,0,0,0,0,0
1,Mon,1,0,0,0,0,0,0,0,0,0,0,0
2,Mon,2,0,0,0,0,0,0,0,0,0,0,0
3,Mon,3,0,0,0,0,0,0,0,0,0,0,0
4,Mon,4,0.0144380796,0,0,0,0,0.0109339371,0,0.00176057766,0,0,0.0159456721
5,Mon,5,0.0443277283,0,0,0,0,0.044642202,0,0.030464501,0,0,0.0488595843
6,Mon,6,0.149219613,0,0,0.0440843539,0.0220189114,0.162954038,0,0.149221994,0,0,0.16328764
7,Mon,7,0.250316259,0.0541424397,0,0.152198248,0.0880705097,0.31991798,0,0.332633273,0.000830926945,0.0859239919,0.316478495
8,Mon,8,0.386433445,0.178239634,0.0131092853,0.277472296,0.161965026,0.477758085,0.0386767788,0.514877888,0.0213628736,0.250169862,0.462722724
9,Mon,9,0.55255698,0.249211272,0.0360543354,0.399623494,0.216427679,0.595725236,0.0467988179,0.648529064,0.100023012,0.211764662,0.598450044
10,Mon,10,0.662873632,0.17448053,0.045199009,0.303326074,0.379893386,0.637376827,0.0501645378,0.483290866,0.127682267,0.317859777,0.680728711
11,Mon,11,0.615021005,0.24833727,0.0398416491,0.301318329,0.458241804,0.582222365,0.0537083641,0.62663979,0.185122721,0.352366395,0.734158574
12,Mon,12,0.542136163,0.257168634,0.0332506446,0.37902884,0.419048031,0.572818305,0.0484548011,0.509866327,0.1833618,0.441776153,0.737251011
13,Mon,13,0.532580768,0.32805227,0.0306287003,0.344763335,0.361968832,0.474186652,0.0422631283,0.389775475,0.186177608,0.380577336,0.649136839
14,Mon,14,0.462459142,0.268824695,0.0131237629,0.287021945,0.234475518,0.309364435,0.037864613,0.247819201,0.167692142,0.300332782,0.551265555
15,Mon,15,0.300464352,0.150086502,0.00349686256,0.181998571,0.125687562,0.239596324,0.0105462876,0.179572026,0.10977333,0.193221525,0.383825219
16,Mon,16,0.25946253,0.0351118027,0,0.0744598502,0.0567801008,0.135157968,0,0.149470216,0.0395000244,0.102208669,0.282846955
17,Mon,17,0.173844356,0,0,0.0217100813,0.00500172769,0.0540482587,0,0.071875075,0,0.0125706622,0.169916918
18,Mon,18,0.0545036696,0,0,0,0,0.0288847005,0,0.0266820057,0,0,0.0565151159
19,Mon,19,0.0215273692,0,0,0,0,0.00669878414,0,0.000813877553,0,0,0.0202434843
20,Mon,20,0,0,0,0,0,0,0,0,0,0,0
21,Mon,21,0,0,0,0,0,0,0,0,0,0,0
22,Mon,22,0,0,0,0,0,0,0,0,0,0,0
23,Mon,23,0,0,0,0,0,0,0,0,0,0,0
24,Tue,0,0,0,0,0,0,0,0,0,0,0,0
25,Tue,1,0,0,0,0,0,0,0,0,0,0,0
26,Tue,2,0,0,0,0,0,0,0,0,0,0,0
27,Tue,3,0,0,0,0,0,0,0,0,0,0,0
28,Tue,4,0.0167547806,0,0,0,0,0.00414410394,0,0.000829359828,0,0,0.0158166907
29,Tue,5,0.0656988627,0,0,0,0,0.0249582833,0,0.0275575584,0,0,0.0484309014
30,Tue,6,0.145994092,0,0,0.0387868958,0.0132598572,0.0623903807,0,0.0739805788,0,0,0.160580411
