timestamp,hour_of_year,pv_capacity_factor
2015-01-01T00:00:00Z,0,0.0
2015-01-01T01:00:00Z,1,0.0
2015-01-01T02:00:00Z,2,0.0
2015-01-01T03:00:00Z,3,0.0
2015-01-01T04:00:00Z,4,0.0
2015-01-01T05:00:00Z,5,0.0
2015-01-01T06:00:00Z,6,0.0
2015-01-01T07:00:00Z,7,0.0
2015-01-01T08:00:00Z,8,0.00348133205
2015-01-01T09:00:00Z,9,0.0183032917
2015-01-01T10:00:00Z,10,0.0446192977
2015-01-01T11:00:00Z,11,0.0502258102
2015-01-01T12:00:00Z,12,0.061406466
2015-01-01T13:00:00Z,13,0.171427312
2015-01-01T14:00:00Z,14,0.186405618
2015-01-01T15:00:00Z,15,0.101847325
2015-01-01T16:00:00Z,16,0.0
2015-01-01T17:00:00Z,17,0.0
2015-01-01T18:00:00Z,18,0.0
2015-01-01T19:00:00Z,19,0.0
2015-01-01T20:00:00Z,20,0.0
2015-01-01T21:00:00Z,21,0.0
2015-01-01T22:00:00Z,22,0.0
2015-01-01T23:00:00Z,23,0.0
2015-01-02T00:00:00Z,24,0.0
2015-01-02T01:00:00Z,25,0.0
2015-01-02T02:00:00Z,26,0.0
2015-01-02T03:00:00Z,27,0.0
2015-01-02T04:00:00Z,28,0.0
2015-01-02T05:00:00Z,29,0.0
2015-01-02T06:00:00Z,30,0.0
2015-01-02T07:00:00Z,31,0.0
2015-01-02T08:00:00Z,32,0.0523346368
2015-01-02T09:00:00Z,33,0.138475193
2015-01-02T10:00:00Z,34,0.105328413
2015-01-02T11:00:00Z,35,0.0477316119
2015-01-02T12:00:00Z,36,0.0217493705
2015-01-02T13:00:00Z,37,0.0174016809
2015-01-02T14:00:00Z,38,0.0113234637
2015-01-02T15:00:00Z,39,0.00776575666
2015-01-02T16:00:00Z,40,0.0
2015-01-02T17:00:00Z,41,0.0
2015-01-02T18:00:00Z,42,0.0
2015-01-02T19:00:00Z,43,0.0
2015-01-02T20:00:00Z,44,0.0
2015-01-02T21:00:00Z,45,0.0
2015-01-02T22:00:00Z,46,0.0
2015-01-02T23:00:00Z,47,0.0
2015-01-03T00:00:00Z,48,0.0
2015-01-03T01:00:00Z,49,0.0
2015-01-03T02:00:00Z,50,0.0
2015-01-03T03:00:00Z,51,0.0
2015-01-03T04:00:00Z,52,0.0
2015-01-03T05:00:00Z,53,0.0
2015-01-03T06:00:00Z,54,0.0
2015-01-03T07:00:00Z,55,0.0
2015-01-03T08:00:00Z,56,0.0298451225
2015-01-03T09:00:00Z,57,0.0875399734
2015-01-03T10:00:00Z,58,0.131020012
2015-01-03T11:00:00Z,59,0.108804326
2015-01-03T12:00:00Z,60,0.104313994
2015-01-03T13:00:00Z,61,0.0685350917
2015-01-03T14:00:00Z,62,0.0390646172
2015-01-03T15:00:00Z,63,0.0122162751
2015-01-03T16:00:00Z,64,0.0
2015-01-03T17:00:00Z,65,0.0
2015-01-03T18:00:00Z,66,0.0
2015-01-03T19:00:00Z,67,0.0
2015-01-03T20:00:00Z,68,0.0
2015-01-03T21:00:00Z,69,0.0
2015-01-03T22:00:00Z,70,0.0
2015-01-03T23:00:00Z,71,0.0
2015-01-04T00:00:00Z,72,0.0
2015-01-04T01:00:00Z,73,0.0
2015-01-04T02:00:00Z,74,0.0
2015-01-04T03:00:00Z,75,0.0
2015-01-04T04:00:00Z,76,0.0
2015-01-04T05:00:00Z,77,0.0
2015-01-04T06:00:00Z,78,0.0
2015-01-04T07:00:00Z,79,0.0
2015-01-04T08:00:00Z,80,0.0139868314
2015-01-04T09:00:00Z,81,0.0912983299
2015-01-04T10:00:00Z,82,0.211664925
2015-01-04T11:00:00Z,83,0.372884861
2015-01-04T12:00:00Z,84,0.358077175
2015-01-04T13:00:00Z,85,0.343616144
2015-01-04T14:00:00Z,86,0.187219403
2015-01-04T15:00:00Z,87,0.111076466
2015-01-04T16:00:00Z,88,0.0
2015-01-04T17:00:00Z,89,0.0
2015-01-04T18:00:00Z,90,0.0
2015-01-04T19:00:00Z,91,0.0
2015-01-04T20:00:00Z,92,0.0
2015-01-04T21:00:00Z,93,0.0
2015-01-04T22:00:00Z,94,0.0
2015-01-04T23:00:00Z,95,0.0
2015-01-05T00:00:00Z,96,0.0
2015-01-05T01:00:00Z,97,0.0
2015-01-05T02:00:00Z,98,0.0
2015-01-05T03:00:00Z,99,0.0
2015-01-05T04:00:00Z,100,0.0
2015-01-05T05:00:00Z,101,0.0
2015-01-05T06:00:00Z,102,0.0
2015-01-05T07:00:00Z,103,0.0
2015-01-05T08:00:00Z,104,0.0296476372
2015-01-05T09:00:00Z,105,0.0501032307
2015-01-05T10:00:00Z,106,0.0593157378
2015-01-05T11:00:00Z,107,0.0784934072
2015-01-05T12:00:00Z,108,0.0954950183
2015-01-05T13:00:00Z,109,0.050415883
2015-01-05T14:00:00Z,110,0.029584505
2015-01-05T15:00:00Z,111,0.00875150537
2015-01-05T16:00:00Z,112,0.0
2015-01-05T17:00:00Z,113,0.0
2015-01-05T18:00:00Z,114,0.0
2015-01-05T19:00:00Z,115,0.0
2015-01-05T20:00:00Z,116,0.0
2015-01-05T21:00:00Z,117,0.0
2015-01-05T22:00:00Z,118,0.0
2015-01-05T23:00:00Z,119,0.0
2015-01-06T00:00:00Z,120,0.0
2015-01-06T01:00:00Z,121,0.0
2015-01-06T02:00:00Z,122,0.0
2015-01-06T03:00:00Z,123,0.0
2015-01-06T04:00:00Z,124,0.0
2015-01-06T05:00:00Z,125,0.0
2015-01-06T06:00:00Z,126,0.0
2015-01-06T07:00:00Z,127,0.0
2015-01-06T08:00:00Z,128,0.0321366973
2015-01-06T09:00:00Z,129,0.121967254
2015-01-06T10:00:00Z,130,0.229680713
2015-01-06T11:00:00Z,131,0.211272142
2015-01-06T12:00:00Z,132,0.222258143
2015-01-06T13:00:00Z,133,0.162579268
2015-01-06T14:00:00Z,134,0.131518368
2015-01-06T15:00:00Z,135,0.0794533921
2015-01-06T16:00:00Z,136,0.0
2015-01-06T17:00:00Z,137,0.0
2015-01-06T18:00:00Z,138,0.0
2015-01-06T19:00:00Z,139,0.0
2015-01-06T20:00:00Z,140,0.0
2015-01-06T21:00:00Z,141,0.0
2015-01-06T22:00:00Z,142,0.0
2015-01-06T23:00:00Z,143,0.0
2015-01-07T00:00:00Z,144,0.0
2015-01-07T01:00:00Z,145,0.0
2015-01-07T02:00:00Z,146,0.0
2015-01-07T03:00:00Z,147,0.0
2015-01-07T04:00:00Z,148,0.0
2015-01-07T05:00:00Z,149,0.0
2015-01-07T06:00:00Z,150,0.0
2015-01-07T07:00:00Z,151,0.0
2015-01-07T08:00:00Z,152,0.062307163
2015-01-07T09:00:00Z,153,0.0857375545
2015-01-07T10:00:00Z,154,0.0763615605
2015-01-07T11:00:00Z,155,0.0367559334
2015-01-07T12:00:00Z,156,0.0501384606
2015-01-07T13:00:00Z,157,0.0657108208
2015-01-07T14:00:00Z,158,0.064443961
2015-01-07T15:00:00Z,159,0.0469865012
2015-01-07T16:00:00Z,160,0.0
2015-01-07T17:00:00Z,161,0.0
2015-01-07T18:00:00Z,162,0.0
2015-01-07T19:00:00Z,163,0.0
2015-01-07T20:00:00Z,164,0.0
2015-01-07T21:00:00Z,165,0.0
2015-01-07T22:00:00Z,166,0.0
2015-01-07T23:00:00Z,167,0.0
2015-01-08T00:00:00Z,168,0.0
2015-01-08T01:00:00Z,169,0.0
2015-01-08T02:00:00Z,170,0.0
2015-01-08T03:00:00Z,171,0.0
2015-01-08T04:00:00Z,172,0.0
2015-01-08T05:00:00Z,173,0.0
2015-01-08T06:00:00Z,174,0.0
2015-01-08T07:00:00Z,175,0.0
2015-01-08T08:00:00Z,176,0.0122425144
2015-01-08T09:00:00Z,177,0.0431651989
2015-01-08T10:00:00Z,178,0.0854711158
2015-01-08T11:00:00Z,179,0.125272934
2015-01-08T12:00:00Z,180,0.0720189459
2015-01-08T13:00:00Z,181,0.0640068011
2015-01-08T14:00:00Z,182,0.0259422359
2015-01-08T15:00:00Z,183,0.00523046037
2015-01-08T16:00:00Z,184,0.0
2015-01-08T17:00:00Z,185,0.0
2015-01-08T18:00:00Z,186,0.0
2015-01-08T19:00:00Z,187,0.0
2015-01-08T20:00:00Z,188,0.0
2015-01-08T21:00:00Z,189,0.0
2015-01-08T22:00:00Z,190,0.0
2015-01-08T23:00:00Z,191,0.0
2015-01-09T00:00:00Z,192,0.0
2015-01-09T01:00:00Z,193,0.0
2015-01-09T02:00:00Z,194,0.0
2015-01-09T03:00:00Z,195,0.0
2015-01-09T04:00:00Z,196,0.0
2015-01-09T05:00:00Z,197,0.0
2015-01-09T06:00:00Z,198,0.0
2015-01-09T07:00:00Z,199,0.0
2015-01-09T08:00:00Z,200,0.041737742
2015-01-09T09:00:00Z,201,0.0401704969
2015-01-09T10:00:00Z,202,0.104112334
2015-01-09T11:00:00Z,203,0.134474247
2015-01-09T12:00:00Z,204,0.125811563
2015-01-09T13:00:00Z,205,0.196583602
2015-01-09T14:00:00Z,206,0.0383117979
2015-01-09T15:00:00Z,207,0.016190849
2015-01-09T16:00:00Z,208,0.000828151463
2015-01-09T17:00:00Z,209,0.0
2015-01-09T18:00:00Z,210,0.0
2015-01-09T19:00:00Z,211,0.0
2015-01-09T20:00:00Z,212,0.0
2015-01-09T21:00:00Z,213,0.0
2015-01-09T22:00:00Z,214,0.0
2015-01-09T23:00:00Z,215,0.0
2015-01-10T00:00:00Z,216,0.0
2015-01-10T01:00:00Z,217,0.0
2015-01-10T02:00:00Z,218,0.0
2015-01-10T03:00:00Z,219,0.0
2015-01-10T04:00:00Z,220,0.0
2015-01-10T05:00:00Z,221,0.0
2015-01-10T06:00:00Z,222,0.0
2015-01-10T07:00:00Z,223,0.0
2015-01-10T08:00:00Z,224,0.00334306088
